"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"41.177.26.176",50739,"41.177.202.202",53,2,319,1,89,1,230,165.690276,0.00014799999999581814,0,0
"41.177.26.176",50740,"41.177.202.202",53,2,273,1,89,1,184,165.690798,0.00013400000000274304,0,0
"41.177.26.176",50741,"41.177.202.202",53,2,273,1,89,1,184,165.691707,0.00012999999998442036,0,0
"41.177.26.176",50742,"41.177.202.202",53,2,319,1,89,1,230,165.693931,0.00013900000001854096,0,0
"41.177.26.176",50743,"41.177.202.202",53,2,319,1,89,1,230,165.69446,0.00013500000000021828,0,0
"41.177.26.176",50744,"41.177.202.202",53,2,277,1,91,1,186,165.694543,0.00011299999999891952,0,0
"41.177.26.176",50745,"41.177.202.202",53,2,273,1,89,1,184,165.695055,0.00013500000000021828,0,0
"41.177.26.176",50746,"41.177.202.202",53,2,277,1,91,1,186,165.695543,0.00013400000000274304,0,0
"41.177.26.176",50747,"41.177.202.202",53,2,273,1,89,1,184,165.695952,0.0001289999999869451,0,0
"41.177.26.176",50748,"41.177.202.202",53,2,319,1,89,1,230,165.735423,0.00013699999999516876,0,0
"41.177.26.176",50749,"41.177.202.202",53,2,319,1,89,1,230,165.736142,0.00013699999999516876,0,0
"41.177.26.176",50750,"41.177.202.202",53,2,277,1,91,1,186,165.736274,0.00011999999998124622,0,0
"41.177.26.176",50751,"41.177.202.202",53,2,273,1,89,1,184,165.736712,0.00012999999998442036,0,0
"41.177.26.176",50753,"41.177.202.202",53,2,273,1,89,1,184,165.737654,0.0001239999999995689,0,0
"41.177.26.176",50752,"41.177.202.202",53,2,277,1,91,1,186,165.737708,0.00012200000000461841,0,0
"41.177.26.176",50754,"41.177.202.202",53,2,407,1,90,1,317,165.821224,0.0001629999999863685,0,0
"41.177.26.176",50755,"41.177.202.202",53,2,392,1,99,1,293,165.821901,0.00015100000001666558,0,0
"41.177.26.176",50756,"41.177.202.202",53,2,392,1,99,1,293,165.822786,0.00014600000000086766,0,0
"41.177.26.176",50757,"41.177.202.202",53,2,319,1,89,1,230,165.977611,0.00014600000000086766,0,0
"41.177.26.176",50758,"41.177.202.202",53,2,319,1,89,1,230,165.978206,0.00014799999999581814,0,0
"41.177.26.176",50759,"41.177.202.202",53,2,277,1,91,1,186,165.978233,0.0001630000000147902,0,0
"41.177.26.176",50760,"41.177.202.202",53,2,319,1,89,1,230,165.978682,0.0001330000000052678,0,0
"41.177.26.176",50761,"41.177.202.202",53,2,273,1,89,1,184,165.979023,0.00012699999999199463,0,0
"41.177.26.176",50762,"41.177.202.202",53,2,319,1,89,1,230,165.979303,0.00016400000001226545,0,0
"41.177.26.176",50763,"41.177.202.202",53,2,277,1,91,1,186,165.979309,0.00018299999999271677,0,0
"41.177.26.176",50764,"41.177.202.202",53,2,277,1,91,1,186,165.97983,0.00011600000001976696,0,0
"41.177.26.176",50765,"41.177.202.202",53,2,273,1,89,1,184,165.979925,0.00012799999998946987,0,0
"41.177.26.176",50766,"41.177.202.202",53,2,273,1,89,1,184,165.980102,0.0001310000000103173,0,0
"41.177.26.176",50767,"41.177.202.202",53,2,277,1,91,1,186,165.980298,0.00012599999999451938,0,0
"41.177.26.176",50768,"41.177.202.202",53,2,273,1,89,1,184,165.980857,0.00018500000001608896,0,0
"41.177.26.176",50769,"41.177.202.202",53,2,319,1,89,1,230,165.982952,0.00014399999997749546,0,0
"41.177.26.176",50770,"41.177.202.202",53,2,277,1,91,1,186,165.983519,0.00014899999999329339,0,0
"41.177.26.176",50771,"41.177.202.202",53,2,277,1,91,1,186,165.984364,0.0001289999999869451,0,0
"41.177.26.176",50772,"41.177.202.202",53,2,319,1,89,1,230,165.991666,0.00014600000000086766,0,0
"41.177.26.176",50773,"41.177.202.202",53,2,273,1,89,1,184,165.99219,0.00012300000000209366,0,0
"41.177.26.176",50774,"41.177.202.202",53,2,273,1,89,1,184,165.993037,0.00016700000000469117,0,0
"41.177.26.176",50775,"41.177.202.202",53,2,407,1,90,1,317,166.139987,0.00017800000000534055,0,0
"41.177.26.176",50776,"41.177.202.202",53,2,392,1,99,1,293,166.140673,0.00015100000001666558,0,0
"41.177.26.176",50777,"41.177.202.202",53,2,392,1,99,1,293,166.141691,0.00012599999999451938,0,0
"41.177.26.176",50778,"41.177.202.202",53,2,407,1,90,1,317,166.168538,0.00018299999999271677,0,0
"41.177.26.176",50779,"41.177.202.202",53,2,392,1,99,1,293,166.169177,0.0001420000000109667,0,0
"41.177.26.176",50780,"41.177.202.202",53,2,392,1,99,1,293,166.170027,0.00017599999998196836,0,0
"41.177.26.176",50781,"41.177.202.202",53,2,299,1,91,1,208,166.290616,0.00014899999999329339,0,0
"41.177.26.176",50782,"41.177.202.202",53,2,321,1,89,1,232,166.29117,0.00014400000000591717,0,0
"41.177.26.176",50783,"41.177.202.202",53,2,321,1,89,1,232,166.292104,0.0001420000000109667,0,0
"41.177.26.176",50784,"41.177.202.202",53,2,299,1,91,1,208,166.293258,0.00011799999998629573,0,0
"41.177.26.176",50785,"41.177.202.202",53,2,321,1,89,1,232,166.294366,0.00014500000000339242,0,0
"41.177.26.176",50786,"41.177.202.202",53,2,321,1,89,1,232,166.295418,0.0001399999999875945,0,0
"41.177.26.176",50787,"41.177.202.202",53,2,349,1,90,1,259,166.333629,0.00014899999999329339,0,0
"41.177.26.176",50788,"41.177.202.202",53,2,325,1,90,1,235,166.334198,0.00014100000001349144,0,0
"41.177.26.176",50789,"41.177.202.202",53,2,325,1,90,1,235,166.33524,0.000137999999992644,0,0
"41.177.26.176",50790,"41.177.202.202",53,2,299,1,91,1,208,166.435747,0.0001420000000109667,0,0
"41.177.26.176",50791,"41.177.202.202",53,2,321,1,89,1,232,166.436309,0.00013500000000021828,0,0
"41.177.26.176",50792,"41.177.202.202",53,2,321,1,89,1,232,166.437161,0.00011699999998882049,0,0
"41.177.26.176",50793,"41.177.202.202",53,2,299,1,91,1,208,166.536002,0.00014400000000591717,0,0
